Location Name,Operating Hours,Concatenated Address,Brand Name
The Centrepoint,8:00 AM to 9:00 PM (Daily),"The Centrepoint, 176 Orchard Rd, #B1-07/08, Singapore (238843)",Malaysia Boleh!
Bugis Junction,10:00 AM to 9:00 PM (Daily),"Bugis Junction, 200 Victoria St, # 03-30, Singapore (188021)",Malaysia Boleh!
Northpoint City,10:00 AM to 9:00 PM (Daily),"Northpoint City, 930 Yishun Ave 2, #B1-194/195/203/204/205, Singapore (769098)",Malaysia Boleh!
Jurong Point,9:30 AM to 9:00 PM (Daily),"Jurong Point, 1 Jurong West Central 2, # 03-28, Singapore (648886)",Malaysia Boleh!
Great World,8:00 AM to 9:00 PM (Daily),"Great World, 1 Kim Seng Promenade,  # B1-102/103, Singapore (237994)",Malaysia Boleh!
i12Katong,10:00 AM to 9:00 PM (Daily),"i12Katong, 112 E Coast Rd, #B1-06/08, Singapore (428802)",Malaysia Boleh!
AMK Hub,8:00 AM to 9:00 PM (Daily),"AMK Hub, 53 Ang Mo Kio Ave 3, #B2-41/42, Singapore (569933)",Malaysia Boleh!
The Clementi Mall,10:00 AM to 9:00 PM (Daily),"The Clementi Mall, 3155 Commonwealth Ave W,  # 04-20/21/22, Singapore (129588)",Boleh Boleh!
HarbourFront Centre,9:00 AM to 9:00 PM (Daily),"HarbourFront Centre, 1 Maritime Square, #01-103/108, Singapore (099253)",Boleh Boleh!
18 Tai Seng,7:00 AM to 8:00 PM (Daily),"18 Tai Seng, 18 Tai Seng Street, #B1-14/15, Singapore (539775)",Let’s Eat!
The Seletar Mall,8:00 AM to 8:00 PM (Daily),"The Seletar Mall,  33 Sengkang W Ave, #B2-05/06, Singapore (797653)",Let’s Eat!
City Square Mall,10:00 AM to 9:00 PM (Daily),"City Square Mall, 180 Kitchener Rd, #B1-04, Singapore (208539)",Malaysia Chiak!
Marina One,7:00 AM to 6:00 PM (Daily),"Marina One, 5 Straits View, #B2-48/49, Singapore (018936)",Malaysia Chiak!
Singpost Centre,7:30 AM to 8:30 PM (Daily),"Singpost Centre, 10 Eunos Rd 8, #B1-151/152, Singapore (408600)",Malaysia Chiak!
Westmall,10:00 AM to 9:00 PM (Daily),"Westmall, 1 Bt Batok Central, #02-04, Singapore (658713)",Malaysia Chiak!
Alexandra Retail Centre,9.30 AM to 8.30 PM (Daily),"Alexandra Retail Centre, 460 Alexandra Road, #01-32, Singapore (119963)",Encik Tan
Bedok Mall,10.30 AM to 9:00 PM (Daily),"Bedok Mall, 311 New Upper Changi Road, #B1-41/42, Singapore (467360)",Encik Tan
Changi Airport,24H (Daily),"Changi Airport, Terminal 3 Transit Level 2, Departure Lounge (Central), , Singapore (819663)",Encik Tan
Compass One,10.30 AM to 9:00 PM (Daily),"Compass One, 1 Sengkang Square, #02-29, Singapore (545078)",Encik Tan
Downtown East,8:00 AM to 9:00 PM (Daily),"Downtown East, 1 Pasir Ris Close, E!Avenue, #01-336, Singapore (519599)",Encik Tan
FairPrice Hub @ Joo Koon,9.30 AM to 8.30 PM (Daily),"FairPrice Hub @ Joo Koon, 1 Joo Koon Circle, #02-29/30/31, Singapore (629117)",Encik Tan
Junction 10,8:00 AM to 9:00 PM (Daily),"Junction 10, 1 Woodlands Rd, #01-31A, Singapore (677899)",Encik Tan
Marina Square,10.30 AM to 9:00 PM (Daily),"Marina Square, 6 Raffles Blvd, #B2-275/276, Singapore (039594)",Encik Tan
