Location Name,Street Address,Unit Number,Postal Code,Operating Hours,Brand Name
The Centrepoint,176 Orchard Rd,#B1-07/08,238843,8:00 AM to 9:00 PM (Daily),Malaysia Boleh!
Bugis Junction,200 Victoria St,# 03-30,188021,10:00 AM to 9:00 PM (Daily),Malaysia Boleh!
Northpoint City,930 Yishun Ave 2,#B1-194/195/203/204/205,769098,10:00 AM to 9:00 PM (Daily),Malaysia Boleh!
Jurong Point,1 Jurong West Central 2,# 03-28,648886,9:30 AM to 9:00 PM (Daily),Malaysia Boleh!
Great World,1 Kim Seng Promenade, # B1-102/103,237994,8:00 AM to 9:00 PM (Daily),Malaysia Boleh!
i12Katong,112 E Coast Rd,#B1-06/08,428802,10:00 AM to 9:00 PM (Daily),Malaysia Boleh!
AMK Hub,53 Ang Mo Kio Ave 3,#B2-41/42,569933,8:00 AM to 9:00 PM (Daily),Malaysia Boleh!
The Clementi Mall,3155 Commonwealth Ave W, # 04-20/21/22,129588,10:00 AM to 9:00 PM (Daily),Boleh Boleh!
HarbourFront Centre,1 Maritime Square,#01-103/108,099253,9:00 AM to 9:00 PM (Daily),Boleh Boleh!
18 Tai Seng,18 Tai Seng Street,#B1-14/15,539775,7:00 AM to 8:00 PM (Daily),Let’s Eat!
The Seletar Mall, 33 Sengkang W Ave,#B2-05/06,797653,8:00 AM to 8:00 PM (Daily),Let’s Eat!
City Square Mall,180 Kitchener Rd,#B1-04,208539,10:00 AM to 9:00 PM (Daily),Malaysia Chiak!
Marina One,5 Straits View,#B2-48/49,018936,7:00 AM to 6:00 PM (Daily),Malaysia Chiak!
Singpost Centre,10 Eunos Rd 8,#B1-151/152,408600,7:30 AM to 8:30 PM (Daily),Malaysia Chiak!
Westmall,1 Bt Batok Central,#02-04,658713,10:00 AM to 9:00 PM (Daily),Malaysia Chiak!
Alexandra Retail Centre,460 Alexandra Road,#01-32,119963,9.30 AM to 8.30 PM (Daily),Encik Tan
Bedok Mall,311 New Upper Changi Road,#B1-41/42,467360,10.30 AM to 9:00 PM (Daily),Encik Tan
Changi Airport,"Terminal 3 Transit Level 2, Departure Lounge (Central)",,819663,24H (Daily),Encik Tan
Compass One,1 Sengkang Square,#02-29,545078,10.30 AM to 9:00 PM (Daily),Encik Tan
Downtown East,"1 Pasir Ris Close, E!Avenue",#01-336,519599,8:00 AM to 9:00 PM (Daily),Encik Tan
FairPrice Hub @ Joo Koon,1 Joo Koon Circle,#02-29/30/31,629117,9.30 AM to 8.30 PM (Daily),Encik Tan
Junction 10,1 Woodlands Rd,#01-31A,677899,8:00 AM to 9:00 PM (Daily),Encik Tan
Marina Square,6 Raffles Blvd,#B2-275/276,039594,10.30 AM to 9:00 PM (Daily),Encik Tan
Northpoint City (Noodle Section),930 Yishun Avenue 2,#01-07,769098,24H (Daily),Encik Tan
Northpoint City (Curry Rice Section),930 Yishun Avenue 2,#01-07,769098,10.30 AM to 9:30 PM (Daily),Encik Tan
Oasis Terrace,681 Punggol Drive,#01-39,820681,8:00 AM to 9:00 PM (Daily),Encik Tan
Our Tampines Hub,1 Tampines Walk,#01-12,528523,24H (Daily),Encik Tan
SingPost Centre,10 Eunos Road 8,#B1-156/159,408600,8:00 AM to 9:00 PM (Daily),Encik Tan
Kallang Wave Mall,1 Stadium Place,#01-32,397628,10.30 AM to 9:00 PM (Daily),Encik Tan
Tampines Mall,4 Tampines Central 5,#B1-11,529510,10:00 AM to 10:00 PM (Daily),Encik Tan
VivoCity,1 HarbourFront Walk,#B2-37,098585,8:00 AM to 9:00 PM (Daily),Encik Tan
Waterway Point,83 Punggol Central,#B2-03,828761,24H (Daily),Encik Tan
West Mall,1 Bukit Batok Central Link,#01-01/36,658713,8:00 AM to 9:00 PM (Daily),Encik Tan
YewTee Point,21 Choa Chu Kang North 6,#B1-28,689578,10:00 AM to 9:00 PM (Daily),Encik Tan
Buangkok Hawker Centre (Noodle Section),"Sengkang Grand Mall, 70 Compassvale Bow",#02-K47,544692,7:00 AM to 9:00 PM (Daily),Encik Tan
Buangkok Hawker Centre (Curry Rice Section),"Sengkang Grand Mall, 70 Compassvale Bow",#02-K48,544692,11:00 AM to 9:00 PM (Daily),Encik Tan
NTU North Spine Plaza,76 Nanyang Dr,#01-04,637331,9:00 AM to 7:00 PM (Daily),Encik Tan
"Mount Alvernia Hospital, SG Hawker",820 Thomson Rd,#01-33,574623,9:00 AM to 7:00 PM (Daily),Encik Tan
"Changi Airport, SG Hawker",Terminal 1 (Transit Area),#03-47/48,819642,24H (Daily),Encik Tan
Tangs Plaza,"310 Orchard Rd, Basement 1",#B1,238864,Mon to Sat: 10.30 AM - 9.30 PM Sun: 11:00 AM - 9:00 PM,Tangs Market
Plaza Singapura,68 Orchard Rd,#B2-39,238839,8:00 AM to 9:00 PM (Daily),85 Redhill
United Square,"Thomson Rd, 101",#01-79/80,307591,7:45 AM to 8:00 PM (Daily),85 Redhill
Valley Point,491 River Valley Road,#01-07/08,248371,8:00 AM to 7:00 PM (Daily),85 Redhill
Westgate,3 Gateway Dr,#B2-K13/14,608532,10:00 AM to 8:30 PM (Daily),85 Redhill
White Sands,1 Pasir Ris Central St 3,#B1-K12 13,518457,9:00 AM to 8:30 PM (Daily),85 Redhill
East Point Mall,3 Simei street 6  ,#B1-16,528833,9:00 AM to 9:00 PM (Daily),85 Redhill
Sun Plaza,30 Sembawang Dr,#B1-43,757713,7:30 AM to 9 PM (Daily),85 Redhill
