Date,7-8 AM,12-1 PM,5-6 PM,10-11 PM
29/02/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
01/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
02/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
03/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
04/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
05/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
06/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
07/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
08/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
09/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
10/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
11/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
12/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
13/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
14/03/2024,"Pred Forte - LEFT, Latanoprost - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Cosopt - BOTH,"Pred Forte - LEFT, Cosopt - BOTH, I-Drop Vet Gel - BOTH, Cyclosporine Ointment - BOTH, Chloramphenicol - LEFT",Pred Forte - LEFT
